"","wr_response_priority","wr_dlt_priority","wr_tie_priority"
"doseB",6.84545454545455,0.956916099773243,1.57507987220447
"doseB",1.91034482758621,0.664694280078895,0.804878048780488
"doseB",1.78289473684211,1.02392344497608,1.40294117647059
"doseB",3.08920187793427,1.53935860058309,2.23921568627451
"doseB",1.5987460815047,0.719917012448133,0.816933638443936
"doseB",1.91525423728814,0.341653666146646,0.711453744493392
"doseB",4.33950617283951,0.743951612903226,1.23275862068966
"doseB",1.08272506082725,0.606003752345216,0.774678111587983
"doseB",1.23218997361478,0.552293577981651,0.652977412731006
"doseB",1.96503496503496,0.880266075388027,1.27170868347339
"doseB",1.3983286908078,0.615384615384615,0.75
"doseB",1.74516129032258,0.567219152854512,0.851063829787234
"doseB",1.75577557755776,1.31944444444444,1.23850574712644
"doseB",2.03886925795053,0.511423550087873,0.656314699792961
"doseB",2.44223107569721,0.617977528089888,0.911764705882353
"doseB",1.96808510638298,1.42608695652174,1.82608695652174
"doseB",1.96917808219178,0.611524163568773,0.968292682926829
"doseB",1.91752577319588,1.00709219858156,1.14099216710183
"doseB",1.90202702702703,0.735353535353535,0.847874720357942
"doseB",2.81651376146789,0.523809523809524,1.21165644171779
"doseB",1.94501718213058,0.428333333333333,0.770786516853933
"doseB",1.59090909090909,0.87089715536105,1.19783197831978
"doseB",1.77070063694268,0.879049676025918,0.98812351543943
"doseB",1.8277027027027,0.497316636851521,0.670967741935484
"doseB",4.10650887573965,1.87666666666667,2.88785046728972
"doseB",2.28897338403042,0.864224137931034,1.25414364640884
"doseB",1.35068493150685,0.963386727688787,0.985611510791367
"doseB",1.95847750865052,0.644230769230769,0.912832929782082
"doseB",1.64375,0.855263157894737,1.23013698630137
"doseB",1.4178674351585,0.661386138613861,0.811363636363636
"doseB",3.07655502392344,0.949656750572082,1.43161094224924
"doseB",1.68615384615385,0.347222222222222,0.594594594594595
"doseB",1.44797687861272,0.707661290322581,0.717062634989201
"doseB",2.34375,1.0188679245283,1.50621118012422
"doseB",2.05109489051095,1.07960199004975,1.28977272727273
"doseB",3.83333333333333,0.928899082568807,1.32248520710059
"doseB",1.61656441717791,0.699203187250996,0.910377358490566
"doseB",3.60893854748603,1.08333333333333,1.50645161290323
"doseB",1.55927051671733,0.854625550660793,0.9725
"doseB",1.6048632218845,0.724346076458752,0.859770114942529
"doseB",2.95794392523365,0.753623188405797,1.43125
"doseB",2.30798479087452,0.587591240875912,0.875288683602771
"doseB",3.78977272727273,1.03623188405797,2.076
"doseB",2.352,1.15979381443299,1.34743202416918
"doseB",1.95774647887324,1.06896551724138,1.47435897435897
"doseB",3.78089887640449,0.519642857142857,0.94
"doseB",1.6125,0.713114754098361,0.806004618937644
"doseB",1.14430379746835,0.571428571428571,0.80952380952381
"doseB",2.13207547169811,0.732776617954071,1.16618911174785
"doseB",1.54573170731707,0.906392694063927,0.941888619854721
"doseB",3.74033149171271,0.813953488372093,1.16129032258065
"doseB",1.23015873015873,0.55822550831793,0.610778443113772
"doseB",4.3875,1.78064516129032,2.94607843137255
"doseB",1.84385382059801,0.949886104783599,1.05445544554455
