"","wr_response_priority","wr_dlt_priority","wr_tie_priority"
"doseA",0.5125,0.5125,0.5125
"doseA",0.44205298013245,0.501724137931034,0.42504118616145
"doseA",0.479020979020979,0.45360824742268,0.421585160202361
"doseA",1.09661835748792,0.928888888888889,0.950226244343891
"doseA",0.592391304347826,0.45771144278607,0.469899665551839
"doseA",0.696850393700787,0.696850393700787,0.636538461538461
"doseA",1.05301204819277,0.967667436489607,0.904977375565611
"doseA",1.07311320754717,0.874200426439232,0.854122621564482
"doseA",0.604247104247104,0.550373134328358,0.558095238095238
"doseA",0.706,0.659533073929961,0.655577299412916
"doseA",0.591603053435115,0.603846153846154,0.582542694497154
"doseA",0.773858921161826,0.912751677852349,0.783613445378151
"doseA",0.935840707964602,0.834381551362683,0.783505154639175
"doseA",0.562613430127042,0.594444444444444,0.517857142857143
"doseA",0.546279491833031,0.58364312267658,0.529837251356239
"doseA",0.538053097345133,0.574275362318841,0.514035087719298
"doseA",0.570915619389587,0.570915619389587,0.538732394366197
"doseA",1.23255813953488,1.41340782122905,1.3027027027027
"doseA",0.917960088691796,0.888646288209607,0.824152542372881
"doseA",1.13022113022113,1.00230946882217,1.002331002331
"doseA",0.404567699836868,0.451939291736931,0.400981996726678
"doseA",1.14676616915423,1.00697674418605,0.965596330275229
"doseA",0.804480651731161,0.901287553648069,0.845338983050847
"doseA",0.749498997995992,0.739043824701195,0.65774378585086
"doseA",0.370662460567823,0.443521594684385,0.364951768488746
"doseA",0.876355748373102,0.922222222222222,0.839400428265525
"doseA",0.628731343283582,0.701754385964912,0.625468164794007
"doseA",0.418300653594771,0.393258426966292,0.371835443037975
"doseA",0.620560747663551,0.780287474332649,0.611428571428571
"doseA",0.706692913385827,0.720238095238095,0.674463937621832
"doseA",0.837552742616034,0.829831932773109,0.793814432989691
"doseA",0.715127701375246,0.567324955116697,0.58287795992714
"doseA",0.783157894736842,0.670611439842209,0.619417475728155
"doseA",1.10169491525424,1.11192214111922,1.12623762376238
"doseA",0.611524163568773,0.76219512195122,0.584269662921348
"doseA",0.627599243856333,0.746450304259635,0.67843137254902
"doseA",0.396774193548387,0.467796610169492,0.384491114701131
"doseA",0.865957446808511,0.618081180811808,0.65406427221172
"doseA",0.706563706563707,0.637037037037037,0.596014492753623
"doseA",0.668639053254438,0.723014256619145,0.603481624758221
"doseA",0.48885077186964,0.42998352553542,0.394480519480519
"doseA",0.711155378486056,0.608614232209738,0.607142857142857
"doseA",0.768916155419223,0.593001841620626,0.588888888888889
"doseA",0.867102396514161,0.808016877637131,0.826923076923077
"doseA",0.634285714285714,0.646833013435701,0.613636363636364
"doseA",0.498287671232877,0.460767946577629,0.419249592169657
"doseA",0.94,0.830188679245283,0.793814432989691
"doseA",0.611428571428571,0.476439790575916,0.47027972027972
"doseA",0.807933194154488,0.630885122410546,0.622641509433962
"doseA",0.696153846153846,0.642458100558659,0.650943396226415
"doseA",1.04534606205251,0.700396825396825,0.782978723404255
"doseA",0.649325626204239,0.750511247443763,0.698602794411178
"doseA",0.492254733218589,0.425986842105263,0.425986842105263
"doseA",0.464716006884682,0.527827648114901,0.471403812824957
"doseA",0.682974559686888,0.538461538461538,0.538461538461538
"doseA",0.848290598290598,0.957013574660634,0.881838074398249
"doseA",0.405492730210016,0.556350626118068,0.445945945945946
"doseA",0.686507936507937,0.606805293005671,0.561797752808989
"doseA",1.12977099236641,0.868303571428571,0.87037037037037
"doseA",0.310291858678955,0.278860569715142,0.279878971255673
"doseA",1.01635514018692,0.76844262295082,0.797494780793319
"doseA",0.657587548638132,0.763975155279503,0.66015625
"doseA",0.570661896243292,0.537653239929948,0.459322033898305
"doseA",1.55102040816327,1.1875,1.31283422459893
"doseA",0.495711835334477,0.521815008726004,0.414075286415712
"doseA",0.594890510948905,0.600732600732601,0.549019607843137
"doseA",0.704819277108434,0.581005586592179,0.546617915904936
"doseA",0.74251497005988,0.830188679245283,0.725646123260437
"doseA",1.29815303430079,1.27415143603133,1.12009803921569
"doseA",0.469178082191781,0.521276595744681,0.44331641285956
"doseA",0.754639175257732,0.705410821643287,0.66078431372549
"doseA",0.624299065420561,0.630393996247655,0.611940298507463
"doseA",0.800420168067227,0.654440154440154,0.634099616858238
"doseA",1.21907216494845,0.974770642201835,1.04830917874396
"doseA",0.577490774907749,0.616257088846881,0.582867783985102
"doseA",0.644787644787645,0.683794466403162,0.66078431372549
"doseA",0.762575452716298,0.795081967213115,0.673076923076923
"doseA",0.87527352297593,0.85097192224622,0.843478260869565
"doseA",0.814345991561181,0.919642857142857,0.852494577006508
"doseA",0.699029126213592,0.551418439716312,0.509632224168126
"doseA",0.573556797020484,0.621880998080614,0.571694599627561
"doseA",0.840425531914894,0.736947791164659,0.77962577962578
"doseA",0.580882352941177,0.580882352941177,0.580882352941177
"doseA",0.815513626834382,0.878524945770065,0.818947368421053
"doseA",0.955456570155902,1,0.995444191343964
"doseA",0.884955752212389,0.69047619047619,0.705645161290323
"doseA",0.976851851851852,1,0.981351981351981
"doseA",0.785123966942149,0.777777777777778,0.764344262295082
"doseA",0.896103896103896,1.08076009501188,0.988610478359909
"doseA",0.949771689497717,1.135,1.05582524271845
"doseA",0.679611650485437,0.790890269151139,0.690196078431373
"doseA",0.760649087221095,0.688715953307393,0.650095602294455
"doseA",0.911111111111111,1.06730769230769,0.960829493087558
"doseA",1,1.28260869565217,1.01946472019465
"doseA",0.734406438631791,1.04750593824228,0.897777777777778
"doseA",0.755230125523013,0.681362725450902,0.699386503067485
"doseA",0.544973544973545,0.572710951526032,0.513937282229965
"doseA",0.872294372294372,0.641366223908918,0.64176245210728
"doseA",0.601113172541744,0.708910891089109,0.63915547024952
"doseA",0.601818181818182,0.607664233576642,0.534965034965035
"doseA",0.594843462246777,0.640151515151515,0.599627560521415
"doseA",0.764344262295082,0.884026258205689,0.841648590021692
"doseA",0.734567901234568,0.832608695652174,0.76
